name,prefecture_id
なし,
札幌市,1
仙台市,4
さいたま市,11
千葉市,12
東京23区,13
横浜市,14
川崎市,14
相模原市,14
新潟市,15
静岡市,22
浜松市,22
名古屋市,23
京都市,26
大阪市,27
堺市,27
神戸市,28
岡山市,33
広島市,34
北九州市,40
福岡市,40
熊本市,43
