name,name_alphabet
北海道地方,hokkaido
東北地方,tohoku
関東地方,kanto
中部地方,chubu
近畿地方,kinki
中国地方,chugoku
四国地方,shikoku
九州･沖縄地方,kyushu_okinawa
アジア,asia
オセアニア,oceania
北米,north-america
中南米,latin-america
欧州,europe
中東,middle-east
アフリカ,africa
